Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,2-Mar-16,2276.65,2305,2330,2256.25,2320.1,2318.85,2288.84,763743,17480.82,42118,438079,57.36
TCS,EQ,3-Mar-16,2318.85,2336,2391,2301,2369.4,2373.15,2356.33,1324142,31201.1,61441,797518,60.23
TCS,EQ,4-Mar-16,2373.15,2380,2380,2349.55,2369.85,2357.55,2362.52,756483,17872.09,32716,419647,55.47
TCS,EQ,8-Mar-16,2357.55,2342.1,2367,2304.2,2351,2354.3,2342.85,634076,14855.47,33078,350804,55.33
TCS,EQ,9-Mar-16,2354.3,2341,2369.4,2295.15,2360,2357.25,2326.68,1008892,23473.66,45459,607451,60.21
TCS,EQ,10-Mar-16,2357.25,2356.05,2359.85,2314.95,2347,2348.3,2329.26,830833,19352.29,47391,514311,61.9
TCS,EQ,11-Mar-16,2348.3,2340,2390.85,2335,2360,2365.25,2369.33,765264,18131.61,60976,381295,49.83
TCS,EQ,14-Mar-16,2365.25,2362,2398,2340,2346.1,2355,2361.38,818371,19324.84,50401,532800,65.1
TCS,EQ,15-Mar-16,2355,2349.05,2363.5,2320.1,2330.25,2329.9,2333.27,811678,18938.65,34040,519577,64.01
TCS,EQ,16-Mar-16,2329.9,2315,2332,2306.9,2323.55,2327.05,2320.16,959123,22253.15,47662,648450,67.61
TCS,EQ,17-Mar-16,2327.05,2334,2361.8,2332,2349,2352.05,2347.85,1110544,26073.91,51558,820690,73.9
TCS,EQ,18-Mar-16,2352.05,2360,2430,2360,2421.4,2425.85,2408.6,1602035,38586.69,102942,1152246,71.92
TCS,EQ,21-Mar-16,2425.85,2426,2454.95,2420,2449.05,2446.25,2434.69,1168491,28449.19,68915,855867,73.25
TCS,EQ,22-Mar-16,2446.25,2442,2485,2436.5,2470.65,2473.1,2456.21,975992,23972.4,63517,541794,55.51
TCS,EQ,23-Mar-16,2473.1,2487.9,2487.9,2457.3,2479.6,2473.8,2473.02,1139217,28173.12,55908,698388,61.3
TCS,EQ,28-Mar-16,2473.8,2491,2517.15,2461.55,2476,2473.4,2478.01,1660441,41145.83,82490,1133446,68.26
TCS,EQ,29-Mar-16,2473.4,2478,2486.95,2455,2462.4,2469.4,2472.49,919398,22732.05,32196,650064,70.71
TCS,EQ,30-Mar-16,2469.4,2470.9,2505,2460,2490,2489.5,2490.18,1068252,26601.39,66443,840002,78.63
TCS,EQ,31-Mar-16,2489.5,2478.3,2550,2472.15,2530,2520.3,2510.45,2181982,54777.53,76600,1371053,62.84
TCS,EQ,1-Apr-16,2520.3,2505,2520.85,2434.1,2458,2453.9,2467.96,1520700,37530.29,86567,990990,65.17
TCS,EQ,4-Apr-16,2453.9,2456,2488,2447,2476.4,2471.25,2462.56,876176,21576.34,56839,541245,61.77
TCS,EQ,5-Apr-16,2471.25,2470.8,2484.9,2442.05,2460,2462.75,2459.72,745897,18347,39144,438819,58.83
TCS,EQ,6-Apr-16,2462.75,2470,2489,2459.35,2481,2481.9,2477.67,881575,21842.55,48213,578096,65.58
TCS,EQ,7-Apr-16,2481.9,2480,2484.7,2457,2466.25,2470.8,2470.69,1195471,29536.4,50556,893942,74.78
TCS,EQ,8-Apr-16,2470.8,2466,2473.7,2427,2432,2432.05,2438.52,699750,17063.55,51781,462455,66.09
TCS,EQ,11-Apr-16,2432.05,2433,2517,2413,2506.05,2506.65,2456.71,1200324,29488.46,56962,804709,67.04
TCS,EQ,12-Apr-16,2506.65,2498,2525,2488.1,2520.05,2518.15,2502.73,651814,16313.15,41843,379191,58.17
TCS,EQ,13-Apr-16,2518.15,2530,2545,2512.5,2528,2526.2,2524.85,800734,20217.37,51204,497799,62.17
TCS,EQ,18-Apr-16,2526.2,2453,2553.5,2440,2522.4,2519.75,2495.75,3560752,88867.6,185897,1683724,47.29
TCS,EQ,20-Apr-16,2519.75,2534.9,2534.9,2440,2453,2450.35,2472.11,3202512,79169.58,118381,1605452,50.13
TCS,EQ,21-Apr-16,2450.35,2451,2467.4,2412.2,2418.2,2424.4,2440.23,1262862,30816.73,64118,668774,52.96
TCS,EQ,22-Apr-16,2424.4,2419,2435.4,2404.2,2423.4,2417.05,2420.24,982063,23768.31,54414,558188,56.84
