"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","25-Apr-2014","       3172.65","       3188.00","       3200.00","       3163.35","       3174.10","       3175.60","       3174.62","     745363","      23662.41","      33128","     532219","         71.40"
"INFY","EQ","28-Apr-2014","       3175.60","       3169.00","       3193.00","       3165.00","       3178.50","       3178.05","       3179.48","     755310","      24014.91","      48043","     636227","         84.23"
"INFY","EQ","29-Apr-2014","       3178.05","       3183.00","       3195.00","       3171.00","       3181.00","       3177.75","       3182.97","     604433","      19238.93","      32535","     466264","         77.14"
"INFY","EQ","30-Apr-2014","       3177.75","       3177.65","       3190.00","       3171.00","       3178.00","       3180.80","       3178.53","     967742","      30760.00","      42805","     775975","         80.18"
"INFY","EQ","02-May-2014","       3180.80","       3185.00","       3247.00","       3185.00","       3219.70","       3219.70","       3219.38","     595549","      19172.98","      33364","     374920","         62.95"
"INFY","EQ","05-May-2014","       3219.70","       3192.00","       3233.00","       3174.55","       3176.50","       3176.90","       3187.12","     524586","      16719.17","      37693","     329134","         62.74"
"INFY","EQ","06-May-2014","       3176.90","       3176.90","       3184.50","       3155.00","       3165.00","       3165.15","       3164.74","     570753","      18062.88","      31473","     443161","         77.64"
"INFY","EQ","07-May-2014","       3165.15","       3151.00","       3170.00","       3050.00","       3066.60","       3067.35","       3085.67","    1949509","      60155.36","      89390","    1438717","         73.80"
"INFY","EQ","08-May-2014","       3067.35","       3070.00","       3088.40","       3046.45","       3066.65","       3065.30","       3061.84","    1145249","      35065.72","      53685","     820914","         71.68"
"INFY","EQ","09-May-2014","       3065.30","       3065.00","       3125.00","       3052.85","       3109.20","       3111.45","       3102.16","     772425","      23961.89","      46522","     498446","         64.53"
"INFY","EQ","12-May-2014","       3111.45","       3118.20","       3186.50","       3105.05","       3175.50","       3175.10","       3148.10","     880525","      27719.80","      45319","     605488","         68.76"
"INFY","EQ","13-May-2014","       3175.10","       3183.00","       3275.00","       3183.00","       3269.30","       3265.25","       3241.02","     912496","      29574.15","      71192","     587605","         64.40"
"INFY","EQ","14-May-2014","       3265.25","       3250.25","       3265.00","       3217.15","       3254.00","       3254.10","       3247.67","     648086","      21047.67","      50507","     383751","         59.21"
"INFY","EQ","15-May-2014","       3254.10","       3254.10","       3294.85","       3205.25","       3283.20","       3272.45","       3245.79","    1051149","      34118.06","      48138","     667888","         63.54"
"INFY","EQ","16-May-2014","       3272.45","       3299.00","       3340.00","       3059.05","       3182.90","       3177.55","       3213.88","    1773599","      57001.37","     115835","    1011860","         57.05"
"INFY","EQ","19-May-2014","       3177.55","       3198.00","       3198.00","       3000.10","       3010.00","       3015.05","       3030.45","    2155814","      65330.91","     109779","    1632584","         75.73"
"INFY","EQ","20-May-2014","       3015.05","       3049.00","       3138.85","       3042.20","       3100.00","       3122.20","       3096.09","    1098418","      34008.00","      89593","     768939","         70.00"
"INFY","EQ","21-May-2014","       3122.20","       3118.00","       3164.30","       3099.05","       3155.40","       3157.10","       3142.93","     848538","      26668.96","      84270","     582033","         68.59"
"INFY","EQ","22-May-2014","       3157.10","       3160.00","       3180.00","       3081.15","       3115.00","       3113.90","       3116.25","    1229093","      38301.55","      55699","     938116","         76.33"
"INFY","EQ","23-May-2014","       3113.90","       3125.00","       3171.00","       3012.15","       3071.00","       3069.55","       3104.74","    1135222","      35245.74","      78657","     674828","         59.44"
"INFY","EQ","26-May-2014","       3069.55","       3071.00","       3110.95","       3050.15","       3100.00","       3094.85","       3091.87","     718818","      22224.92","      44262","     440124","         61.23"
"INFY","EQ","27-May-2014","       3094.85","       3100.00","       3155.00","       3099.50","       3135.00","       3134.05","       3139.41","     623016","      19559.03","      59605","     359794","         57.75"
"INFY","EQ","28-May-2014","       3134.05","       3123.50","       3188.00","       3118.00","       3175.00","       3173.30","       3162.11","     673665","      21302.03","      64482","     459157","         68.16"
"INFY","EQ","29-May-2014","       3173.30","       3025.00","       3025.00","       2915.00","       2921.30","       2924.50","       2950.23","    5167666","     152458.16","     221589","    3092685","         59.85"
"INFY","EQ","30-May-2014","       2924.50","       2940.00","       2959.45","       2880.00","       2943.00","       2939.40","       2933.06","    3504452","     102787.74","     123309","    2731651","         77.95"
"INFY","EQ","02-Jun-2014","       2939.40","       2960.50","       2997.70","       2960.50","       2995.00","       2993.15","       2986.02","     778732","      23253.10","      47069","     511517","         65.69"
"INFY","EQ","03-Jun-2014","       2993.15","       3008.00","       3036.95","       2974.75","       3015.00","       3017.20","       3007.15","     853117","      25654.50","      59185","     514701","         60.33"
"INFY","EQ","04-Jun-2014","       3017.20","       3015.00","       3027.35","       2953.50","       2993.00","       2984.50","       2979.59","     688501","      20514.49","      57942","     413849","         60.11"
"INFY","EQ","05-Jun-2014","       2984.50","       3000.00","       3068.40","       2962.00","       3049.50","       3041.15","       2995.92","    1519215","      45514.49","     103719","    1065748","         70.15"
"INFY","EQ","06-Jun-2014","       3041.15","       3000.15","       3010.00","       2950.00","       3000.00","       3003.05","       2977.38","    2110303","      62831.69","     137765","    1419212","         67.25"
"INFY","EQ","09-Jun-2014","       3003.05","       3006.00","       3015.00","       2976.10","       2980.00","       2986.45","       2987.80","    1357293","      40553.26","      78968","     938254","         69.13"
"INFY","EQ","10-Jun-2014","       2986.45","       3000.00","       3089.20","       2996.35","       3081.00","       3075.15","       3039.63","    1309897","      39815.98","      83561","     782679","         59.75"
"INFY","EQ","11-Jun-2014","       3075.15","       3105.00","       3257.25","       3090.35","       3177.00","       3193.35","       3198.35","    2546963","      81460.73","     138700","    1093824","         42.95"
"INFY","EQ","12-Jun-2014","       3193.35","       3280.00","       3297.05","       3120.70","       3164.05","       3175.05","       3188.00","    2641107","      84198.61","     163409","     974455","         36.90"
"INFY","EQ","13-Jun-2014","       3175.05","       3188.50","       3207.00","       3131.05","       3187.00","       3187.00","       3173.74","    1268968","      40273.76","      94715","     673659","         53.09"
"INFY","EQ","16-Jun-2014","       3187.00","       3186.00","       3259.70","       3180.00","       3234.00","       3244.15","       3236.53","    1171916","      37929.42","      80810","     707085","         60.34"
"INFY","EQ","17-Jun-2014","       3244.15","       3249.00","       3267.00","       3218.55","       3252.15","       3246.85","       3251.71","    1259924","      40969.07","      74804","     866760","         68.79"
"INFY","EQ","18-Jun-2014","       3246.85","       3245.00","       3275.00","       3212.75","       3236.00","       3240.50","       3247.56","    1223910","      39747.26","      79398","     823788","         67.31"
"INFY","EQ","19-Jun-2014","       3240.50","       3245.85","       3323.00","       3245.10","       3307.00","       3311.90","       3295.30","    1414213","      46602.62","     124172","     923045","         65.27"
"INFY","EQ","20-Jun-2014","       3311.90","       3320.00","       3339.40","       3292.85","       3310.00","       3316.60","       3317.68","    1106625","      36714.25","      72433","     773573","         69.90"
"INFY","EQ","23-Jun-2014","       3316.60","       3300.00","       3308.95","       3221.45","       3231.45","       3232.55","       3246.94","     791014","      25683.75","      73560","     428542","         54.18"
"INFY","EQ","24-Jun-2014","       3232.55","       3230.00","       3234.90","       3192.15","       3206.10","       3203.80","       3206.89","    1329753","      42643.69","      84836","     903347","         67.93"
"INFY","EQ","25-Jun-2014","       3203.80","       3245.00","       3245.00","       3206.00","       3217.00","       3211.25","       3218.05","     804190","      25879.24","      56604","     589876","         73.35"
"INFY","EQ","26-Jun-2014","       3211.25","       3220.00","       3235.00","       3168.75","       3190.00","       3182.50","       3189.07","     922069","      29405.46","      41561","     634474","         68.81"
"INFY","EQ","27-Jun-2014","       3182.50","       3200.00","       3235.60","       3172.00","       3225.45","       3223.40","       3219.71","     861343","      27732.75","      70301","     596763","         69.28"
"INFY","EQ","30-Jun-2014","       3223.40","       3220.00","       3263.00","       3211.40","       3255.00","       3255.55","       3251.20","     911322","      29628.86","      50263","     669056","         73.42"
